O*NET-SOC Code,skill_Active Learning,skill_Active Listening,skill_Complex Problem Solving,skill_Coordination,skill_Critical Thinking,skill_Equipment Maintenance,skill_Equipment Selection,skill_Installation,skill_Instructing,skill_Judgment and Decision Making,skill_Learning Strategies,skill_Management of Financial Resources,skill_Management of Material Resources,skill_Management of Personnel Resources,skill_Mathematics,skill_Monitoring,skill_Negotiation,skill_Operation and Control,skill_Operations Analysis,skill_Operations Monitoring,skill_Persuasion,skill_Programming,skill_Quality Control Analysis,skill_Reading Comprehension,skill_Repairing,skill_Science,skill_Service Orientation,skill_Social Perceptiveness,skill_Speaking,skill_Systems Analysis,skill_Systems Evaluation,skill_Technology Design,skill_Time Management,skill_Troubleshooting,skill_Writing,knowledge_Administration and Management,knowledge_Administrative,knowledge_Biology,knowledge_Building and Construction,knowledge_Chemistry,knowledge_Communications and Media,knowledge_Computers and Electronics,knowledge_Customer and Personal Service,knowledge_Design,knowledge_Economics and Accounting,knowledge_Education and Training,knowledge_Engineering and Technology,knowledge_English Language,knowledge_Fine Arts,knowledge_Food Production,knowledge_Foreign Language,knowledge_Geography,knowledge_History and Archeology,knowledge_Law and Government,knowledge_Mathematics,knowledge_Mechanical,knowledge_Medicine and Dentistry,knowledge_Personnel and Human Resources,knowledge_Philosophy and Theology,knowledge_Physics,knowledge_Production and Processing,knowledge_Psychology,knowledge_Public Safety and Security,knowledge_Sales and Marketing,knowledge_Sociology and Anthropology,knowledge_Telecommunications,knowledge_Therapy and Counseling,knowledge_Transportation,ability_Arm-Hand Steadiness,ability_Auditory Attention,ability_Category Flexibility,ability_Control Precision,ability_Deductive Reasoning,ability_Depth Perception,ability_Dynamic Flexibility,ability_Dynamic Strength,ability_Explosive Strength,ability_Extent Flexibility,ability_Far Vision,ability_Finger Dexterity,ability_Flexibility of Closure,ability_Fluency of Ideas,ability_Glare Sensitivity,ability_Gross Body Coordination,ability_Gross Body Equilibrium,ability_Hearing Sensitivity,ability_Inductive Reasoning,ability_Information Ordering,ability_Manual Dexterity,ability_Mathematical Reasoning,ability_Memorization,ability_Multilimb Coordination,ability_Near Vision,ability_Night Vision,ability_Number Facility,ability_Oral Comprehension,ability_Oral Expression,ability_Originality,ability_Perceptual Speed,ability_Peripheral Vision,ability_Problem Sensitivity,ability_Rate Control,ability_Reaction Time,ability_Response Orientation,ability_Selective Attention,ability_Sound Localization,ability_Spatial Orientation,ability_Speech Clarity,ability_Speech Recognition,ability_Speed of Closure,ability_Speed of Limb Movement,ability_Stamina,ability_Static Strength,ability_Time Sharing,ability_Trunk Strength,ability_Visual Color Discrimination,ability_Visualization,ability_Wrist-Finger Speed,ability_Written Comprehension,ability_Written Expression
11-3013.00,0.5078952057725917,1.076456709233203,0.5578003896535458,1.0641580322327875,1.0271098754754504,0.0702257059736833,0.0589861297970594,-0.7582107999551043,1.5585227340324217,0.804340587562124,0.9958461700150018,0.8100823567762181,1.1517509834125323,1.364159071512078,0.16365013316945737,1.7938715755544479,1.0622919011290068,-0.8410128394698545,-0.20867325648164017,-0.2746608552359483,1.3633438960146478,1.0425370610762983,-0.07183748628367165,1.2194850202209582,-0.08395826283137467,-0.2668079239466233,1.0374889647304635,2.2906306122184876,1.405588753783407,0.6370627388766508,0.8105187588854749,-0.6627944170679467,0.5610355451251997,-0.025744252004218406,0.8483433400836086,1.574069979446341,1.608362413757117,1.8663222827125812,-1.0192322424032376,1.863241052419341,1.5044440314599887,1.2426903408827508,2.027704105132445,-1.2324214847246207,1.130673948227621,1.131682257713254,-0.17510029920502726,1.1475259201926502,0.18929361533031314,0.7004431347752353,0.5792341495371454,0.5915777521720126,0.0735883062754763,0.6721638796825928,-0.7053645093609084,-0.17302812536126347,1.5439946495308563,1.8367570105371536,1.6025051231375285,-0.3159670306320841,-0.08403843536386518,2.27979579562284,0.4929175037142498,0.041846526139744544,2.7708758905992155,1.5574705341785018,3.201378913826715,0.3301850311657173,-0.5094278322972733,-0.7562156484884454,0.004341488546499234,-0.9372813466946176,0.5817433275422658,-0.8721801311943591,-0.1915562909420026,-0.6532676355612552,0.0877664317227139,-0.5461049950681723,-0.3992747047523431,-0.9735403831268025,-0.1932011448381188,0.28508880584880397,-0.4940891931199651,-0.6715625317462739,-0.6548119938608046,-1.025451841792843,0.7723367377189138,1.0780409021142625,-0.6185233083958334,0.1540486466926271,0.703294773229375,-1.0650192434398265,-0.07640045889309419,0.19376817751872477,0.06775574714858616,0.7406028401151779,0.9633517297489732,0.3531392353677854,-0.9491575927471522,0.4785315519137578,0.3905452969298791,-0.6402437469455556,-0.7565457102677144,-0.44587837965051924,-1.1535633721305212,-0.08954561576225324,0.3267739288676842,0.9628750272219008,1.4200884776723537,0.3361402884634531,-1.270806831206872,-0.43196257688251033,-0.8092654466749161,-0.3684155362315175,-0.46368923061102574,-0.8783966629476327,-1.8422250427780476,0.03274963562055886,1.0789637003749748,1.135263853410929
11-9021.00,1.9700177678452027,1.6514870026270079,1.853067212070022,2.1720485863381542,1.660346543462781,-0.9001658674808544,-0.9319808507935361,-0.9119021783243824,1.2439141075973055,2.413021762686374,1.26499378353257,2.696344809144958,2.3277690053734648,2.33687744337808,1.3161158597149314,2.2273349674170464,2.589770451772024,-1.167746654337708,1.3976088552670707,-0.5217605865900887,1.3633438960146478,0.672952283146739,1.2571560099642531,1.4635697817740367,-0.8561291472659127,0.617795888068919,1.3141526886585875,1.9308456993045886,1.405588753783407,1.6220475221772077,1.6755334428614348,-0.21402736384485804,2.1278915720514338,-0.5860603250372105,1.5784150613259569,1.651897914153206,1.8563478079487432,1.5023232559423974,1.243906123673137,0.8290049088387884,2.1152709314512625,1.4575647514100274,1.174888955770253,0.5805736247523624,2.527582169148375,1.454665119409682,1.0142602236970426,0.998219573699183,1.48094416699598,0.8181646700315776,2.38051107797583,0.6388095088324527,1.2693982832519652,1.4981717195383137,1.0985849542345192,0.6776129378672971,0.6682393612642794,2.4214546318936567,1.4459085312999846,0.4927581072952749,2.3320665813472568,1.2600788263346683,1.2907030588587016,1.5855183792947674,1.5668742966152482,1.8748898006550985,1.217175516727826,-0.4384996974740465,-0.9902653270676597,0.49579701457189257,1.8277666780761082,-0.9372813466946176,1.5325496263210228,-0.8721801311943591,-1.046718304075942,-0.6532676355612552,-0.4368145394935055,-0.6999373880451222,1.4156103168492258,-1.8290240238357678,1.8639045699850267,1.1386481047973198,-0.014390947372426697,-0.4932715941145196,-0.3448418192521392,-1.025451841792843,1.3682048439708938,1.7957778542542515,-1.5500343150160638,1.3094134968873292,1.443605060839244,-1.2092656420998482,1.0848865162819412,-0.5813045325561743,1.1349087647388052,1.369297950569488,1.5840680504635172,1.0997764758596738,0.2027326897129817,-0.6369266110553738,1.4894179955158515,-0.9609824255695332,-0.7565457102677144,-1.1074190022774038,1.4156200847303337,-0.7891207389048561,-0.573038339028835,1.8927162225060732,1.8231703599811,2.080131743252918,-1.270806831206872,-0.5957398572171115,-0.6728723938645369,1.1450753153141788,-0.26986415029130445,0.8926795355158841,1.4785239613712229,-0.8327764486370539,1.5200772328259047,1.509605770832414
11-9041.00,1.9700177678452027,1.6514870026270079,1.853067212070022,1.4431732217951496,1.3563929428288621,-1.538581376332524,-1.9072181967715827,-0.9119021783243824,1.5585227340324217,1.7903064690898898,1.5565703648432685,1.4500642602584688,1.3944213688965341,0.9719339215661096,1.9000318278313049,1.7938715755544479,1.2705844307621457,-1.8212142840734151,0.5084169719776057,-0.9969523776557437,1.3633438960146478,1.8433040799236755,0.35918743141835824,1.914187803102798,-1.6160433509951408,1.3311860590491948,1.6138717229140547,1.9308456993045886,1.6662852768962495,0.8277049549993394,0.8105187588854749,0.23473968937823061,1.824629115227001,-0.9646522662757187,1.943450921947131,0.9514465017914222,1.3426637771232321,0.11250879009260323,-1.5112188437241882,0.6350856319174345,0.8936171314687151,1.4289148300063905,1.0297289303469013,1.4386323788559727,1.0485028764087532,-1.0298184321013049,1.463574199015602,1.360820700897604,2.8171343928570147,-1.222341941078353,0.3673192167796529,0.5679618738417931,0.6714932947637212,1.0645176036140602,0.9364321934618963,0.4069544177491194,-0.20751592700229757,0.5463898461641805,1.2371130755165942,1.0193698250154164,1.1135092685712122,-0.6961129106671292,-0.6752684877472702,1.157753889866267,0.09531679285706476,0.7956642946346694,-0.8558728085993713,-0.47343991241221756,-1.3151555262368395,-1.7077452724143019,0.38060382924308495,-1.4364641241914002,1.2322950056540465,-1.5576577937669676,-1.046718304075942,-1.8751072089808187,-1.687738393932184,-2.0252626198465373,0.07259540086406444,-1.418391876295464,0.4739682761856045,1.7702819860192216,-1.9331839303625802,-1.979029407712471,-1.791369300759243,-1.6638654397961703,1.3682048439708938,1.0780409021142625,-1.2395306461426536,1.8947983543193117,1.443605060839244,-1.66604590452325,0.6876041300378504,-2.1314499527059727,1.3551149429717075,1.671071603587557,1.8820118844064988,2.1087457197676307,-0.35017464586788305,-2.0200947331370975,0.7766357045411663,-1.7258208130574801,-1.921358197207999,-1.7689596249042885,0.07964468716269028,-2.1882709851900617,-2.3253043344062685,2.1863502841747597,1.8231703599811,1.405038276882802,-1.4782854975263615,-1.9605505266721204,-1.9458742200947416,-0.8463600156670011,-2.133566845673241,0.8926795355158841,1.1359070006256635,-2.002406292228422,1.9611907652768343,1.509605770832414
17-2051.00,0.7579951177060645,1.6514870026270079,1.602370407731349,-0.3935926968532219,1.3563929428288621,-1.0533855896052553,-1.5139773314578544,-0.9119021783243824,0.9535061447341207,0.49298294076388177,0.7266985564974334,1.4500642602584688,1.3944213688965341,0.5797087716201412,1.9000318278313049,0.126704683775222,1.0622919011290068,-1.978046515209985,2.286800738556536,-1.719243900075539,1.1096985200119223,1.8433040799236755,-2.3347183042193262,1.4635697817740367,-0.8561291472659127,2.943447845464618,1.0374889647304635,0.43174189549667746,1.405588753783407,1.8285765896434532,1.0181222830397054,1.5119997639362537,1.496094787000533,-1.7218361487527347,0.8483433400836086,0.42610794252008416,0.5455678672215769,-0.0860361336002247,0.9651137162579316,0.3118868370485114,0.07918126481368394,1.085115773162748,0.32207380640806205,1.9645393571775402,0.9827660189536589,-1.0298184321013049,1.9657486420186978,1.6381039158140436,-0.9687379137492501,-0.790696311805099,-0.19778727057365966,1.276438223748394,0.6714932947637212,1.6840234835058516,2.071501518870256,-1.7969792460703335,-1.6544159684862079,0.10282613341097069,0.03653920476209294,2.016170576414255,-1.2185573127760443,-1.0082711665716717,-0.16240634515440747,1.2321477141147017,-0.506684004134919,-1.045367450929593,-1.3297124258170168,0.43500567598022977,-2.614716322913559,-0.1552495702194826,1.8277666780761082,-1.935646901688183,1.5325496263210228,-0.655713500908272,-1.046718304075942,-1.8751072089808187,-1.687738393932184,-2.0252626198465373,1.4156103168492258,-1.418391876295464,1.8639045699850267,1.7702819860192216,-1.4534856846150417,-1.979029407712471,-1.791369300759243,-0.014630311620909728,1.6432208930102699,1.4512641172270564,-2.481545321636294,1.8947983543193117,1.0586437112821123,-1.8102923031832718,0.6876041300378504,-2.1314499527059727,1.9818556040961222,1.369297950569488,1.5840680504635172,1.3621084792757423,3.0594205902141143,-2.0200947331370975,1.1330268500285088,-1.7258208130574801,-1.921358197207999,-1.7689596249042885,-0.5369593424839154,-2.1882709851900617,-1.141340824016111,1.2565090888905872,1.4200884776723537,1.405038276882802,-1.4782854975263615,-1.9605505266721204,-1.9458742200947416,-0.3684155362315175,-2.133566845673241,-0.19281877967143218,1.1359070006256635,-1.6983025328946666,1.5200772328259047,1.6823789634884845
17-2051.01,0.7579951177060645,1.076456709233203,1.602370407731349,1.0641580322327875,1.660346543462781,-1.691801098456925,-1.9072181967715827,-0.9119021783243824,0.9535061447341207,1.7903064690898898,1.26499378353257,1.2311230827513833,1.3944213688965341,0.9719339215661096,1.9000318278313049,0.126704683775222,1.2705844307621457,-1.167746654337708,1.9425974288960974,-1.9473359597870536,1.3633438960146478,1.8433040799236755,-1.0057248079714016,1.6888787924384172,-1.6160433509951408,1.8733625889942045,1.0374889647304635,0.07195698258277847,1.6662852768962495,1.8285765896434532,2.1080407848494147,3.2380268917173654,1.824629115227001,-0.9646522662757187,1.943450921947131,0.19262413839948928,0.2621559881454326,1.2045058704031555,0.47312711493698106,0.3118868370485114,2.024778057378481,1.5291895549191201,0.44908882865349453,2.061416958447302,0.7691212322246026,0.4608716988052875,2.269696331204783,1.0622080079106686,-0.5678808459909394,-0.9868988705656685,-1.3986385561994497,1.7487557903527955,1.8213105803180374,1.9731262274553534,1.4634286659729197,-1.8356447489443593,-1.6544159684862079,-0.5221954618321872,0.6629255721122675,1.9597478923728113,0.0,-0.030175298070772325,0.06553238488686358,0.46961101556824497,0.4632061687966108,0.0761806239543824,-0.7966428564471656,3.0555217963430583,-2.1208832201764056,-1.4072622332798206,2.5513481024926197,-2.0932835682661146,1.5325496263210228,-1.5576577937669676,-1.046718304075942,-1.8751072089808187,-1.687738393932184,-2.0252626198465373,0.07259540086406444,-2.0514497704200987,0.4739682761856045,1.7702819860192216,-1.9331839303625802,-1.979029407712471,-1.791369300759243,-1.3446586407945067,1.6432208930102699,1.4512641172270564,-1.860537983889474,1.8947983543193117,1.443605060839244,-1.9545387018432936,0.6876041300378504,-2.1314499527059727,2.2020617823290243,1.369297950569488,1.5840680504635172,1.3621084792757423,0.2027326897129817,-2.0200947331370975,1.1330268500285088,-1.7258208130574801,-1.921358197207999,-1.7689596249042885,-0.5369593424839154,-2.1882709851900617,-1.7570018494189923,1.2565090888905872,1.8231703599811,1.0393626492656567,-1.4782854975263615,-1.9605505266721204,-1.9458742200947416,-0.8463600156670011,-1.5670012262771325,-0.19281877967143218,1.1359070006256635,-0.8327764486370539,1.5200772328259047,1.6823789634884845
47-1011.00,0.2770337486032319,1.076456709233203,0.014623980253088562,1.8221884113575118,0.6978268081220387,-0.41497008075358555,1.049953110387655,-0.9119021783243824,0.9535061447341207,0.15567882339911995,1.26499378353257,-0.031999095174112015,-0.02426703854840001,1.552427143486143,0.16365013316945737,0.5601680756378203,1.0622919011290068,-0.0176436260028636,0.6805186268078248,-0.2746608552359483,1.1096985200119223,-0.0970160042065088,0.35918743141835824,0.5247822373391186,-0.3903752804641279,-0.0955942829113569,0.7608252408023395,0.7915268084105764,1.123167520411162,0.4464205227539622,0.6029152347312442,-1.0770409277354138,0.5610355451251997,-0.7829281344812346,0.48330747946243446,1.360043159002462,0.6164208369906129,0.31105371378543045,0.2599329210312344,-0.5930697885844735,-0.011311609259097419,-0.21845565070273118,0.8664239017456308,0.23458219164606792,0.27609480131139486,0.013664659533309474,-0.056164246914819915,1.0408785298401737,-0.8796585653585144,-0.9868988705656685,-0.7275746024673901,0.898584170464874,-0.5243166822127676,0.4037113317294837,-0.32025170252592966,1.0062697122965145,1.0870788469569905,1.0907634936340285,-0.6942448904797763,0.11660688035231748,0.3361537414554598,1.3225104775155772,0.23648643241781783,0.618398664065114,0.1956502590223955,0.1396644772497023,0.9506407320429003,-0.8403121692630136,-0.17154202516132655,0.17027372217620498,-0.34297759517342663,-0.12282523604197175,-0.01876591379168671,-0.8721801311943591,-0.6362405377716508,-0.48665314827676914,-0.17452405388539582,-0.6999373880451222,-0.3992747047523431,0.08725933135231473,-0.1932011448381188,0.4899430375964479,-0.014390947372426697,-0.6715625317462739,-0.4998269065564719,0.3045764873807538,-0.07562941348582812,0.7048176870014686,0.15152579041022401,0.5391702634241945,-0.4219768639376255,-0.15145871859302262,0.2903217437937595,0.19376817751872477,0.5081681036143906,1.369297950569488,0.9633517297489732,0.615471238783854,0.2027326897129817,0.4785315519137578,0.3905452969298791,-0.4922105106575658,-0.4653425885326433,-0.44587837965051924,0.07964468716269028,0.27423344827189994,-0.2652078263273944,0.35113739874547145,-0.1302264542843637,-0.7327576999558959,-0.18154383302955315,-0.43196257688251033,-0.5251132533199596,1.1450753153141788,-0.6426046893676918,0.1785359071031758,-0.8407293113679503,-0.5286726893032984,0.19673663547311535,0.4153755506773028
47-2031.00,0.2770337486032319,0.22541187501037124,-0.23607282408558444,-0.014577507290859784,0.08991960685420061,-0.09576232632775068,0.8454678604245163,0.6890496796889289,0.033880929000703275,-0.4929829407638841,0.43512197518673495,-0.23409864364219143,0.4610737324196035,-0.0164734562977306,0.547805375351282,0.5601680756378203,0.19440636099092887,-0.0176436260028636,-0.39511671588104397,-0.2746608552359483,0.05284278666723332,0.672952283146739,0.7902123491203882,0.03661271423296153,0.07537858633765689,-0.43802156498188966,0.4611062065468723,-0.3178100064072781,-0.2454892259312586,-0.15727982830121753,0.15310759906374535,-0.21402736384485804,-0.39929556815216904,-0.3891925155931865,0.3080902663642707,0.9903604691448548,0.20901626081865599,-0.5823984428322938,1.1783079101636769,-0.011311957820411772,0.19229735740466014,0.22561813105364087,-0.31300130481910193,0.8020081419403904,0.19392372949252729,1.0323029156528145,0.5517311314573489,-0.6441502377289601,0.36745231211178453,0.543481087766779,0.6145533049967274,-0.329441502706569,0.16557368911982168,-0.6907490560793472,0.916163098365319,-0.28902463398334005,0.2874761924527238,0.06250215952431526,1.1849142115707465,0.7748715275024932,0.4622113945012576,-0.3423335539753153,0.5214098449694082,0.0232480700776354,-0.00501667330826598,0.4359224592945264,0.0029614976076106133,-0.176448085437763,0.6341856687782397,0.49579701457189257,0.004341488546499234,0.034811430535959816,0.28148870687528954,-0.20474135447892416,1.0740834884962283,0.7351864251427944,2.3474998461925844,0.045558054843173615,0.544465506480472,1.148059045831432,0.14038356567374285,-0.1587620296044239,-0.2446461053312453,0.07131637505270173,0.46882988909560647,0.3045764873807538,-0.07562941348582812,0.3603039499742736,0.7725331281570443,0.354311887393042,0.703294773229375,0.44956794249040105,0.2903217437937595,0.19376817751872477,0.28796192538148835,-0.1898659233572014,0.04469157509144776,0.615471238783854,0.2027326897129817,0.4785315519137578,0.7766357045411663,0.27262787683038114,0.5480442751054042,0.5464325542898075,0.07964468716269028,0.27423344827189994,0.6109251713613222,-0.2606002297309579,-0.5023020379539762,0.3361402884634531,-0.18154383302955315,0.2504427578449941,0.7592546606444431,0.14935764982358885,0.8483574669378574,-0.19281877967143218,1.4785239613712229,1.5064832385456826,-0.24437689697781442,-0.11734179334558059
47-2071.00,-0.4540275324330736,-0.9246487117772387,-1.0299460378247147,-0.7434528718338644,-0.8726001284865418,0.708641214825353,0.45222699511078784,-0.11783005674977982,-1.4665602124590837,-0.8043405875621263,-0.6863264144697987,-0.8740805471244422,-1.181618107779794,-1.1774599001377974,-0.9888155933760167,0.126704683775222,-0.881771708780288,0.6358240037328435,-0.7536618301106669,1.1319068463183908,-1.2576583226801812,-0.8669842915597566,-0.5387811471275366,-1.1274838408663372,0.8352927900668851,-0.8089844538916328,-1.268042068003901,-1.0673619083112336,-0.7668822721569432,-0.7609801793563973,-0.7119070849122147,-0.6627944170679467,-1.0310923532030698,0.5497154986783137,-1.1520531761204258,-1.8892731150091464,-1.261182861888841,0.7412343817865577,-0.4780469809501915,0.9582844267863577,-0.3280366685138317,-0.6768543931609217,-0.9480764160462659,-1.1770628554276135,-1.1043792052455852,-1.352801293797733,-1.2190945359746215,-1.8386010096767007,1.436404492800612,0.2295569937498663,0.5439149940775633,0.4026507255302531,0.9474494432967563,-0.0299427841947698,-1.3945137426445544,-0.36635563973139107,-0.32174487764576426,-1.3085129526219679,0.1409369326537887,0.19183712574090914,-1.0504804420483138,-0.5504390579116765,-1.5870234079123582,-0.9810685572762353,-0.27257258308248056,-1.0030448820660467,0.23988130621643272,-1.2945349634592367,-0.01559472956012007,-0.1552495702194826,-1.0665590195899382,0.8624039300700996,-0.9695722125704437,0.2462307919504236,1.5187677353258764,0.04095939479076958,0.0877664317227139,0.3413895797988466,-0.3992747047523431,-0.11805674241783713,-1.2495527281256795,-1.6439552097748416,0.21586421058639194,0.42789825031621037,-0.3448418192521392,0.6503838529658887,-1.22152961781656,-1.0751699543057043,0.0024840293509870077,-1.001316203502075,-0.7773258019903629,0.44956794249040105,-1.971131839441837,0.19376817751872477,-0.982458333654487,-1.1454824912477526,-0.8987972323946589,-1.4024672490320598,-0.9491575927471522,0.7685506742857318,0.004454889318591947,1.0498023673423271,0.6994698984076411,0.8772028656032499,-0.5369593424839154,0.27423344827189994,1.2265861967642036,-0.2606002297309579,-0.5023020379539762,-1.070304433140954,0.45818205478887253,0.4278681448741451,0.46373637955528874,0.6671308358786953,0.2817918475417489,-0.8783966629476327,-0.8407293113679503,0.3368533949543143,-1.3383384574561203,-1.3699474401020901
47-2072.00,-1.646811727808099,-0.6486341709482121,-0.758357833124486,-0.7434528718338644,-1.1765537291204609,1.1810686913755888,-0.14549912016607922,-0.9119021783243824,-1.176152249595899,-1.141644704926888,-1.5161982228156339,-0.8740805471244422,-0.7149442895413288,-1.1774599001377974,-0.8044210771287407,0.126704683775222,-0.881771708780288,1.6029560957416904,-1.2986504037396935,1.8541983687381862,-1.2576583226801812,-0.8669842915597566,-0.07183748628367165,-1.1274838408663372,0.5288757724341319,-0.43802156498188966,-1.268042068003901,-1.0673619083112336,-1.0493035055291884,-0.9516223954790859,-0.9195106090664453,-1.0770409277354138,-0.7025580249766017,0.7314396304727978,-0.6118001024010878,-0.9164239311733352,-0.10982210314200629,-0.8471250077560644,0.2927320277859652,-0.33451075268933494,-0.12442770185007411,-0.848753921582743,-0.8392063969787521,-0.18060752808148578,-0.4963132737859632,-0.5826113928293268,0.3006439099558009,-0.8787744965044098,-0.7905792169677787,-1.0261393823177827,-1.3280002452802855,0.5443459955115725,-1.3981778192340477,-0.6081482720937751,0.26755205527482767,0.38762166631210615,-0.16943961012114203,-1.1472170570753464,-1.3728301217757977,0.1730295643937608,0.5672594387060895,-0.15503860043258932,0.2934711149281359,-0.9810685572762353,0.26253923646594934,-0.8760771754754079,-0.11549840669680077,1.1687501896818224,0.3092954696090598,0.7962800537063739,-1.4428213602865239,1.3484503186853884,-0.6693175919034675,2.050119377667815,-0.1915562909420026,0.554687397251268,-0.6789288339009918,0.045558054843173615,-0.3992747047523431,0.08725933135231473,-1.5831374386375412,-1.2171755603005836,1.6741468776589081,0.6210467660839438,-0.009040796759418976,0.6503838529658887,-0.6485795156511941,-1.0751699543057043,0.7725331281570443,-0.8164578274709227,-1.1326747400431003,1.1948410022338465,-1.6044096367549832,0.19376817751872477,-0.7791910922087307,-1.1454824912477526,-0.8987972323946589,-1.4024672490320598,-0.35017464586788305,1.5939897148828894,-0.3519362561687507,1.3582049429423055,1.4333017651800202,1.379973738799682,0.747632385946512,0.6100295073803497,1.5107374392578414,-0.5542342913996443,-0.1302264542843637,-1.070304433140954,0.6829506099683191,-0.2545371898533593,0.04319113338995316,0.14935764982358885,-0.46368923061102574,-1.6211060364968486,-0.5244675014489717,1.2023794792119271,-1.5677174943306038,-1.1971742474460196
