O*NET-SOC Code,Title,skill_Active Learning,skill_Active Listening,skill_Complex Problem Solving,skill_Coordination,skill_Critical Thinking,skill_Equipment Maintenance,skill_Equipment Selection,skill_Installation,skill_Instructing,skill_Judgment and Decision Making,skill_Learning Strategies,skill_Management of Financial Resources,skill_Management of Material Resources,skill_Management of Personnel Resources,skill_Mathematics,skill_Monitoring,skill_Negotiation,skill_Operation and Control,skill_Operations Analysis,skill_Operations Monitoring,skill_Persuasion,skill_Programming,skill_Quality Control Analysis,skill_Reading Comprehension,skill_Repairing,skill_Science,skill_Service Orientation,skill_Social Perceptiveness,skill_Speaking,skill_Systems Analysis,skill_Systems Evaluation,skill_Technology Design,skill_Time Management,skill_Troubleshooting,skill_Writing,knowledge_Administration and Management,knowledge_Administrative,knowledge_Biology,knowledge_Building and Construction,knowledge_Chemistry,knowledge_Communications and Media,knowledge_Computers and Electronics,knowledge_Customer and Personal Service,knowledge_Design,knowledge_Economics and Accounting,knowledge_Education and Training,knowledge_Engineering and Technology,knowledge_English Language,knowledge_Fine Arts,knowledge_Food Production,knowledge_Foreign Language,knowledge_Geography,knowledge_History and Archeology,knowledge_Law and Government,knowledge_Mathematics,knowledge_Mechanical,knowledge_Medicine and Dentistry,knowledge_Personnel and Human Resources,knowledge_Philosophy and Theology,knowledge_Physics,knowledge_Production and Processing,knowledge_Psychology,knowledge_Public Safety and Security,knowledge_Sales and Marketing,knowledge_Sociology and Anthropology,knowledge_Telecommunications,knowledge_Therapy and Counseling,knowledge_Transportation,ability_Arm-Hand Steadiness,ability_Auditory Attention,ability_Category Flexibility,ability_Control Precision,ability_Deductive Reasoning,ability_Depth Perception,ability_Dynamic Flexibility,ability_Dynamic Strength,ability_Explosive Strength,ability_Extent Flexibility,ability_Far Vision,ability_Finger Dexterity,ability_Flexibility of Closure,ability_Fluency of Ideas,ability_Glare Sensitivity,ability_Gross Body Coordination,ability_Gross Body Equilibrium,ability_Hearing Sensitivity,ability_Inductive Reasoning,ability_Information Ordering,ability_Manual Dexterity,ability_Mathematical Reasoning,ability_Memorization,ability_Multilimb Coordination,ability_Near Vision,ability_Night Vision,ability_Number Facility,ability_Oral Comprehension,ability_Oral Expression,ability_Originality,ability_Perceptual Speed,ability_Peripheral Vision,ability_Problem Sensitivity,ability_Rate Control,ability_Reaction Time,ability_Response Orientation,ability_Selective Attention,ability_Sound Localization,ability_Spatial Orientation,ability_Speech Clarity,ability_Speech Recognition,ability_Speed of Closure,ability_Speed of Limb Movement,ability_Stamina,ability_Static Strength,ability_Time Sharing,ability_Trunk Strength,ability_Visual Color Discrimination,ability_Visualization,ability_Wrist-Finger Speed,ability_Written Comprehension,ability_Written Expression
11-3013.00,Facilities Managers,3.12,3.75,3.38,3.62,3.75,2.38,2.25,1.12,3.25,3.5,3.0,2.5,2.75,3.5,2.75,3.75,3.0,2.25,1.88,2.88,3.12,1.62,2.88,3.75,2.25,1.5,3.0,3.62,3.88,3.0,3.0,1.62,3.38,2.62,3.25,4.21,3.31,2.11,3.32,2.77,2.63,3.25,4.37,2.39,2.9,3.27,3.05,3.77,1.26,1.52,1.74,2.28,1.44,2.75,3.11,3.36,1.98,3.41,1.68,2.47,2.64,3.29,3.47,2.22,2.46,2.75,2.67,2.99,2.62,2.38,3.12,2.38,3.62,2.38,1.25,1.88,1.88,2.25,3.12,2.38,2.88,2.88,1.75,1.88,1.88,2.12,3.62,3.75,2.5,2.75,2.5,2.12,3.5,1.75,2.62,3.75,3.75,2.75,2.75,2.12,3.75,1.88,2.0,2.0,2.88,1.75,2.5,3.5,3.62,2.5,1.12,2.12,2.0,2.62,2.62,2.38,2.62,2.12,3.75,3.62
11-9021.00,Construction Managers,3.88,4.0,4.0,4.0,4.0,1.62,1.62,1.0,3.12,4.12,3.12,3.62,3.38,4.12,3.5,3.88,3.88,2.0,3.0,2.75,3.12,1.5,3.25,3.88,1.62,2.12,3.12,3.5,3.88,3.62,3.5,1.75,4.0,2.25,3.75,4.25,3.45,2.0,4.7,2.45,2.9,3.4,3.9,3.7,3.75,3.4,3.95,3.7,1.55,1.55,2.25,2.3,1.7,3.15,4.0,3.8,1.75,3.7,1.65,2.9,3.79,2.8,3.75,3.05,2.1,2.9,2.0,2.55,2.25,2.88,3.75,2.38,4.0,2.38,1.0,1.88,1.62,2.12,3.62,1.88,3.62,3.38,2.0,2.0,2.12,2.12,3.88,4.0,1.75,3.5,2.75,2.0,3.88,1.5,3.25,4.0,4.0,3.12,3.0,1.62,4.12,1.62,2.0,1.5,3.38,1.5,2.12,3.88,3.75,3.12,1.12,2.0,2.12,3.0,2.75,3.0,3.88,1.75,4.0,3.88
11-9041.00,Architectural and Engineering Managers,3.88,4.0,4.0,3.75,3.88,1.12,1.0,1.0,3.25,3.88,3.25,2.88,2.88,3.25,3.88,3.75,3.12,1.5,2.38,2.5,3.12,1.88,3.0,4.12,1.0,2.62,3.25,3.5,4.0,3.12,3.0,1.88,3.88,2.0,4.0,3.89,3.16,1.58,3.02,2.39,2.36,3.38,3.82,4.32,2.85,2.4,4.29,3.87,1.85,1.03,1.68,2.27,1.57,2.94,3.92,3.66,1.52,2.77,1.61,3.18,3.21,1.86,3.06,2.82,1.66,2.39,1.3,2.53,2.0,2.0,3.25,2.0,3.88,2.0,1.0,1.0,1.0,1.0,3.25,2.12,3.12,3.75,1.0,1.0,1.0,1.88,3.88,3.75,2.0,3.88,2.75,1.62,3.75,1.0,3.38,4.12,4.12,3.62,2.88,1.0,3.88,1.0,1.0,1.0,3.12,1.0,1.38,4.0,3.75,2.88,1.0,1.0,1.0,2.5,1.5,3.0,3.75,1.25,4.25,3.88
17-2051.00,Civil Engineers,3.25,4.0,3.88,3.12,3.88,1.5,1.25,1.0,3.0,3.38,2.88,2.88,2.88,3.0,3.88,3.25,3.0,1.38,3.62,2.12,3.0,1.88,2.25,3.88,1.62,3.75,3.0,3.0,3.88,3.75,3.12,2.25,3.75,1.5,3.25,3.62,2.71,1.52,4.53,2.29,2.0,3.14,3.43,4.7,2.81,2.4,4.67,4.0,1.0,1.14,1.52,2.57,1.57,3.24,4.48,2.52,1.14,2.55,1.38,3.71,2.1,1.71,3.24,2.86,1.48,1.52,1.14,3.05,1.0,2.62,3.75,1.62,4.0,2.5,1.0,1.0,1.0,1.0,3.62,2.12,3.62,3.75,1.25,1.0,1.0,2.5,4.0,3.88,1.0,3.88,2.62,1.5,3.75,1.0,3.75,4.0,4.0,3.25,3.62,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.88,3.62,3.62,2.88,1.0,1.0,1.0,2.62,1.5,2.62,3.75,1.38,4.0,4.0
17-2051.01,Transportation Engineers,3.25,3.75,3.88,3.62,4.0,1.0,1.0,1.0,3.0,3.88,3.12,2.75,2.88,3.25,3.88,3.25,3.12,2.0,3.38,2.0,3.12,1.88,2.62,4.0,1.0,3.0,3.0,2.88,4.0,3.75,3.75,2.75,3.88,2.0,4.0,3.5,2.55,1.91,4.23,2.29,2.86,3.45,3.5,4.77,2.68,3.0,4.9,3.73,1.09,1.09,1.18,2.77,1.82,3.38,4.18,2.5,1.14,2.24,1.5,3.68,2.68,2.18,3.32,2.45,1.77,2.05,1.32,4.55,1.38,2.12,4.0,1.5,4.0,2.0,1.0,1.0,1.0,1.0,3.25,1.75,3.12,3.75,1.0,1.0,1.0,2.0,4.0,3.88,1.5,3.88,2.75,1.38,3.75,1.0,3.88,4.0,4.0,3.25,3.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.62,3.62,3.75,2.75,1.0,1.0,1.0,2.5,1.88,2.62,3.75,1.75,4.0,4.0
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,3.0,3.75,3.12,3.88,3.62,2.0,2.88,1.0,3.0,3.25,3.12,2.0,2.12,3.62,2.75,3.38,3.0,2.88,2.5,2.88,3.0,1.25,3.0,3.38,2.0,1.62,2.88,3.12,3.75,2.88,2.88,1.5,3.38,2.12,3.0,4.1,2.75,1.64,4.1,2.01,1.96,2.23,3.73,3.45,2.38,2.82,3.14,3.72,1.02,1.09,1.37,2.41,1.31,2.62,3.3,3.97,1.86,3.04,1.24,2.7,2.84,2.83,3.38,2.53,1.69,2.08,1.91,2.32,2.88,2.75,3.0,3.0,3.38,2.38,1.12,2.0,1.75,2.12,3.12,3.0,2.88,3.0,2.0,1.88,2.0,2.62,3.25,3.62,3.12,3.0,2.12,2.88,3.62,1.75,2.88,4.0,3.75,2.88,3.0,2.12,3.75,2.0,2.25,2.0,3.12,1.88,2.25,3.25,3.12,2.12,1.75,2.12,2.25,3.0,2.5,2.75,3.0,1.88,3.25,3.12
47-2031.00,Carpenters,3.0,3.38,3.0,3.25,3.38,2.25,2.75,2.25,2.62,3.0,2.75,1.88,2.38,2.62,3.0,3.38,2.5,2.88,1.75,2.88,2.5,1.5,3.12,3.12,2.38,1.38,2.75,2.75,3.12,2.5,2.62,1.75,3.0,2.38,2.88,3.91,2.52,1.37,4.66,2.19,2.05,2.54,3.08,3.86,2.33,3.23,3.6,2.93,1.3,1.48,1.75,1.89,1.46,2.09,3.91,3.3,1.65,2.53,1.6,3.05,2.9,2.03,3.48,2.21,1.63,2.22,1.59,2.7,3.5,2.88,3.12,3.12,3.5,2.75,1.62,2.88,3.0,2.75,3.38,3.62,3.0,2.62,1.88,2.38,2.75,2.62,3.25,3.5,3.62,2.88,2.5,3.38,3.62,1.75,2.75,3.38,3.38,2.88,3.0,2.12,3.88,2.62,3.12,2.75,3.12,1.88,2.62,3.0,3.0,2.5,1.75,2.62,3.38,2.75,3.5,2.62,3.88,2.75,3.0,2.75
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",2.62,2.88,2.62,3.0,3.0,2.88,2.5,1.62,2.0,2.88,2.25,1.5,1.5,1.88,2.0,3.25,1.88,3.38,1.5,3.62,1.88,1.0,2.75,2.5,3.0,1.12,2.0,2.5,2.88,2.12,2.12,1.62,2.75,3.0,1.88,2.43,1.69,1.77,3.65,2.49,1.82,1.91,2.73,2.43,1.54,2.27,2.26,2.37,1.54,1.4,1.73,2.2,1.63,2.41,2.77,3.26,1.49,1.85,1.4,2.74,2.18,1.93,2.74,1.67,1.55,1.54,1.67,2.06,3.0,2.62,2.75,3.75,3.0,3.0,1.75,2.38,1.88,3.0,3.12,2.88,2.5,1.75,2.12,2.62,2.12,2.75,2.75,3.0,3.0,2.0,2.0,3.38,2.88,1.75,2.0,3.0,3.0,1.88,2.75,2.25,3.62,3.25,3.25,3.0,3.0,1.88,2.88,3.0,3.0,2.0,2.12,2.75,3.12,2.88,3.12,2.38,3.0,2.25,2.38,1.88
47-2072.00,Pile Driver Operators,2.0,3.0,2.75,3.0,2.88,3.25,2.12,1.0,2.12,2.75,1.88,1.5,1.75,1.88,2.12,3.25,1.88,4.12,1.12,4.0,1.88,1.0,2.88,2.5,2.75,1.38,2.0,2.5,2.75,2.0,2.0,1.5,2.88,3.12,2.25,2.93,2.34,1.29,4.12,2.09,1.91,1.79,2.79,3.15,1.91,2.58,3.41,2.82,1.04,1.08,1.2,2.26,1.12,2.13,3.59,3.65,1.53,1.93,1.11,2.73,2.95,2.12,3.4,1.67,1.71,1.6,1.55,3.47,3.25,3.0,2.62,4.12,3.12,4.0,1.25,2.75,1.5,2.75,3.12,3.0,2.38,2.0,2.88,2.75,2.38,2.75,3.0,3.0,3.62,2.12,1.88,4.0,3.0,1.75,2.12,3.0,3.0,1.88,2.88,2.62,3.5,3.5,3.88,3.38,3.25,2.0,3.0,2.88,3.12,2.0,2.25,2.25,2.75,2.75,2.62,2.12,3.12,2.62,2.25,2.0
47-2073.00,Operating Engineers and Other Construction Equipment Operators,2.88,3.0,2.88,2.88,2.88,3.25,2.38,1.38,2.38,2.88,2.12,1.75,1.88,2.12,2.0,3.12,2.0,4.12,1.75,3.25,2.25,1.12,2.88,2.88,2.88,1.5,2.25,2.75,2.88,2.0,2.0,1.75,3.0,3.0,2.0,2.78,1.28,1.53,2.46,1.59,1.69,1.42,2.73,2.24,1.5,2.59,2.35,3.33,1.0,1.66,1.2,1.76,1.66,2.16,2.81,3.56,1.05,1.96,1.35,1.69,2.02,1.12,3.13,1.53,1.04,1.41,1.04,2.54,3.25,3.0,2.88,4.12,3.0,4.0,1.0,2.12,1.75,2.88,3.62,3.0,2.75,2.25,2.25,2.0,2.0,3.0,3.0,3.0,3.12,2.12,2.12,3.88,3.88,2.12,2.0,3.12,3.0,2.12,3.12,2.38,3.25,3.5,3.38,3.25,3.0,2.12,2.88,3.0,3.0,2.12,1.88,2.12,3.0,3.0,2.75,3.0,3.12,2.0,2.88,2.25
47-2081.00,Drywall and Ceiling Tile Installers,2.12,2.75,2.62,2.88,3.0,1.88,2.38,1.75,2.12,2.88,2.0,1.62,1.75,2.0,2.25,2.88,1.75,2.5,1.88,2.5,2.0,1.0,2.5,2.75,1.62,1.12,2.0,2.5,2.88,2.0,2.0,1.75,2.88,2.0,2.12,3.09,2.06,1.15,4.47,1.68,1.21,1.78,2.73,2.97,2.28,2.42,2.74,2.96,1.0,1.22,2.02,1.7,1.27,1.98,3.5,3.25,1.71,2.21,1.09,2.04,2.53,1.84,3.18,2.4,1.36,1.52,1.59,2.53,3.62,2.12,2.75,3.12,3.0,2.75,1.5,2.88,2.25,3.62,3.0,3.25,2.62,2.5,2.0,2.88,3.5,2.0,2.88,3.12,3.62,2.38,2.0,3.12,3.62,1.75,2.12,3.12,3.25,2.25,3.0,1.88,3.0,2.25,2.75,2.0,3.12,1.75,2.25,2.62,3.0,2.12,2.12,3.12,3.25,2.5,3.62,2.5,3.25,2.0,2.88,2.38
47-2111.00,Electricians,3.25,3.38,3.12,3.12,3.38,3.0,3.0,3.25,3.0,3.25,3.0,2.38,2.38,2.88,3.0,3.12,2.25,3.0,2.75,3.12,3.0,1.0,3.25,3.12,3.5,2.0,3.0,2.88,3.38,3.0,2.88,2.12,3.0,4.0,3.0,3.58,2.33,1.16,3.67,1.61,1.54,1.98,3.17,3.32,1.64,2.21,2.07,2.64,1.09,1.09,1.19,1.47,1.09,2.43,3.4,3.42,1.19,2.11,1.06,2.27,2.5,2.68,2.87,2.18,1.74,2.48,1.45,2.5,3.62,2.88,3.25,3.12,3.88,3.0,1.25,2.5,2.25,3.5,3.25,3.75,3.25,3.0,2.25,2.88,3.0,2.62,3.88,3.75,3.25,3.0,2.88,3.0,4.0,2.0,3.0,3.75,3.38,2.88,3.0,2.0,4.0,2.0,2.88,2.62,3.12,2.0,2.12,3.0,3.0,2.75,2.25,2.75,2.75,2.88,3.38,3.62,3.38,2.75,3.38,3.0
47-2132.00,"Insulation Workers, Mechanical",2.75,3.0,2.62,3.0,3.0,1.38,1.75,2.12,2.5,2.88,2.12,1.38,1.75,2.25,2.12,3.0,2.12,2.62,1.88,2.75,2.0,1.0,2.75,2.75,1.38,1.38,2.12,2.62,2.88,2.0,2.0,1.5,3.0,2.12,2.0,4.02,2.7,1.43,4.32,2.03,2.0,2.41,4.09,3.55,2.86,3.87,2.57,3.62,1.29,1.75,1.81,1.79,1.45,2.24,3.83,4.07,1.58,3.32,1.28,2.17,3.66,2.78,3.66,3.34,1.74,1.95,1.83,3.08,3.12,2.5,3.0,2.88,3.0,2.62,1.62,2.5,1.62,3.25,2.75,3.0,2.62,2.25,1.88,3.0,3.12,2.5,2.88,3.12,3.12,2.12,1.75,3.12,3.12,1.62,2.12,3.12,3.12,2.25,2.62,1.75,3.25,2.12,2.12,2.0,3.12,1.88,2.12,2.88,2.88,2.12,1.75,2.75,3.12,2.5,3.38,2.62,2.88,1.75,2.75,2.38
47-2151.00,Pipelayers,2.0,3.0,2.38,3.0,3.0,2.62,2.62,2.75,2.0,2.88,2.12,1.5,1.5,2.0,2.0,2.62,2.0,3.12,1.0,3.0,2.0,1.0,3.0,2.88,2.75,1.0,2.0,2.62,3.0,2.0,1.88,1.62,2.88,2.75,2.0,2.92,2.06,1.77,3.7,2.5,1.7,2.5,2.51,2.79,1.64,2.75,2.98,2.84,1.12,1.76,1.86,2.19,1.6,2.28,2.71,2.98,2.0,2.25,1.23,2.37,2.84,2.35,3.01,1.61,1.78,2.04,1.67,2.5,3.5,2.0,2.88,3.5,2.88,3.0,1.25,2.25,2.12,3.0,2.88,3.0,2.25,2.0,2.0,2.38,2.25,2.0,2.75,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.25,3.0,2.0,2.75,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.25,3.0,3.0,2.0,1.75,3.0,3.25,2.0,3.0,2.0,3.0,1.62,2.88,2.62
47-2152.00,"Plumbers, Pipefitters, and Steamfitters",2.62,2.88,3.0,3.0,3.5,2.62,2.75,2.75,2.62,3.25,2.38,1.88,1.88,2.5,2.62,3.12,2.0,3.0,1.75,3.0,2.25,1.5,2.75,2.88,3.25,1.75,2.75,2.75,3.0,2.88,2.88,1.88,3.0,3.25,2.75,3.31,2.21,1.34,4.35,2.51,1.85,2.11,3.6,3.76,2.14,2.82,3.24,2.91,1.17,1.71,1.38,1.47,1.42,2.31,3.75,4.33,1.69,2.16,1.47,3.23,2.68,1.9,3.24,2.17,1.3,1.59,1.51,2.22,3.25,2.88,3.25,3.12,3.5,2.75,1.88,3.0,2.5,3.12,3.38,3.62,3.0,2.62,1.88,2.62,2.88,2.5,3.38,3.12,3.5,2.5,2.25,3.12,3.62,1.88,2.5,3.25,3.12,2.5,3.0,2.12,3.75,2.25,2.75,2.38,3.12,2.0,2.75,2.75,2.88,2.5,1.5,2.75,3.0,2.75,3.38,2.88,3.25,2.5,3.0,2.62
47-2171.00,Reinforcing Iron and Rebar Workers,2.38,2.62,2.75,3.12,3.0,1.75,2.0,1.12,2.25,2.88,2.25,1.62,1.75,2.12,2.38,2.88,1.88,2.88,1.88,2.75,1.88,1.0,2.62,2.62,1.62,1.25,2.0,2.5,2.62,2.12,1.88,1.75,2.75,2.0,1.88,3.37,1.66,1.08,4.58,2.18,1.39,1.55,2.46,3.29,1.66,2.65,3.04,3.27,1.04,1.07,1.58,1.46,1.11,1.72,3.43,2.72,1.62,2.45,1.19,2.06,2.32,2.33,2.65,1.66,1.44,1.53,1.63,2.35,3.5,2.88,3.0,3.25,3.0,2.88,1.88,3.12,2.25,3.5,2.88,3.25,2.88,2.38,2.0,3.0,3.0,2.38,2.88,3.0,3.62,2.12,2.0,3.75,3.38,1.75,2.12,2.88,2.88,2.12,2.62,1.88,3.12,2.62,3.25,2.75,2.75,1.88,2.38,2.38,2.75,2.0,2.62,3.38,3.88,2.5,3.88,2.38,3.0,2.38,2.5,1.88
47-2221.00,Structural Iron and Steel Workers,3.0,3.12,3.0,3.62,3.12,2.25,2.12,1.75,2.88,3.0,2.88,1.75,2.0,2.88,2.12,3.0,2.12,3.62,2.0,3.62,2.38,1.0,3.0,2.75,2.25,1.12,2.75,2.88,3.0,2.0,2.0,2.0,3.0,2.5,2.25,3.01,1.65,1.17,4.58,1.91,1.55,1.32,2.87,2.83,1.25,2.75,2.36,2.89,1.0,1.0,1.39,1.19,1.0,1.36,3.48,3.67,1.52,2.3,1.14,2.29,1.97,2.06,3.31,1.49,1.27,1.37,1.39,2.45,4.0,3.38,3.0,3.88,3.12,3.75,1.25,3.62,2.12,3.75,3.62,3.62,2.88,2.88,3.0,3.12,3.75,3.25,2.88,3.38,4.0,2.25,2.0,4.12,4.0,2.0,2.75,3.25,3.12,2.75,3.0,2.5,3.75,3.5,3.5,3.12,3.75,2.12,2.62,3.12,3.12,2.0,2.62,3.5,4.12,3.0,3.88,2.88,4.0,2.62,3.0,2.25
47-4021.00,Elevator and Escalator Installers and Repairers,3.12,3.38,3.38,3.0,3.62,4.0,3.38,3.5,2.25,3.38,2.38,1.62,1.75,2.12,2.25,3.12,2.0,3.25,1.62,3.62,2.38,1.38,3.5,3.12,4.0,1.88,2.5,2.62,3.0,3.12,3.0,1.88,3.0,4.0,2.75,3.06,2.93,1.39,3.65,2.42,1.74,3.4,3.77,2.96,1.86,2.91,3.17,3.12,1.39,1.38,1.46,1.78,1.39,2.5,3.25,4.33,1.81,2.45,1.5,2.82,2.31,1.76,3.57,2.49,1.45,2.68,1.42,2.71,3.5,2.38,3.12,3.25,3.75,2.75,1.25,2.25,1.62,3.38,2.88,3.5,3.12,2.88,1.88,2.5,3.12,2.62,3.5,3.38,3.62,2.38,2.38,3.12,3.5,1.62,2.12,3.62,3.25,2.75,2.88,1.75,3.75,2.62,3.12,2.75,3.0,2.0,2.12,2.75,3.0,2.25,2.0,2.38,2.62,2.62,3.12,2.88,3.25,2.25,3.12,3.12
47-4051.00,Highway Maintenance Workers,2.38,3.0,3.0,3.12,2.88,2.5,1.88,1.38,2.38,2.88,2.0,1.62,1.62,2.12,2.12,3.12,2.38,3.62,1.12,3.5,2.5,1.12,2.88,2.75,2.38,1.0,2.38,2.88,3.0,2.0,2.0,1.62,2.75,2.88,2.12,3.0,2.13,1.97,3.21,2.2,2.31,2.01,2.95,2.58,2.27,3.03,2.87,3.51,1.32,1.33,1.64,2.53,1.34,2.35,2.8,2.99,1.58,2.29,1.53,2.08,2.62,2.18,4.23,1.51,1.84,2.27,1.62,3.26,3.38,3.25,3.0,3.88,3.0,3.0,1.0,2.88,1.62,3.12,3.12,3.12,3.12,2.12,2.25,2.75,2.12,2.88,3.0,3.12,3.25,2.12,2.0,3.88,3.25,1.88,2.12,3.38,3.12,2.12,3.0,2.0,3.38,3.0,3.12,3.12,3.12,2.12,2.75,3.0,3.0,2.25,2.75,3.12,3.38,3.0,3.12,2.62,3.12,2.12,2.62,2.5
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,2.62,3.0,2.88,3.12,3.12,3.25,2.62,1.5,2.38,3.0,2.5,1.75,1.88,2.5,2.25,3.12,1.88,3.75,1.75,3.75,2.12,1.0,3.12,2.38,3.12,1.25,2.25,2.75,2.88,2.12,2.12,1.75,3.0,3.25,2.25,3.04,2.55,1.74,3.51,2.27,1.83,2.08,2.82,2.55,1.99,2.92,2.99,2.64,1.28,1.48,1.57,2.3,1.53,2.45,2.94,3.65,1.68,2.46,1.45,2.58,2.86,2.14,3.25,2.09,1.62,2.39,1.48,3.66,3.62,3.12,2.88,3.88,3.12,3.38,1.25,3.12,2.0,3.12,3.62,3.12,3.38,2.5,2.88,3.0,2.75,3.0,3.0,3.12,3.75,2.12,2.0,3.75,3.38,1.88,2.12,3.12,3.0,2.25,3.25,2.0,3.62,3.25,3.62,3.12,3.12,1.88,2.75,2.88,2.88,2.75,2.75,3.0,3.25,2.88,3.12,2.88,3.38,2.38,2.88,2.5
