onet_code,title,description,tasks,work_activities,technology,full_text
47-2073.00,Operating Engineers and Other Construction Equipment Operators,"Operate one or several types of power construction equipment, such as motor graders, bulldozers, scrapers, compressors, pumps, derricks, shovels, tractors, or front-end loaders to excavate, move, and grade earth, erect structures, or pour concrete or other hard surface pavement. May repair and maintain equipment in addition to other duties.","Learn and follow safety regulations.; Take actions to avoid potential hazards or obstructions, such as utility lines, other equipment, other workers, or falling objects.; Start engines, move throttles, switches, or levers, or depress pedals to operate machines, such as bulldozers, trench excavators, road graders, or backhoes.; Coordinate machine actions with other activities, positioning or moving loads in response to hand or audio signals from crew members.; Align machines, cutterheads, or depth gauge makers with reference stakes and guidelines or ground or position equipment, following hand signals of other workers.","Controlling Machines and Processes, Monitoring Processes, Materials, or Surroundings, Operating Vehicles, Mechanized Devices, or Equipment, Getting Information, Making Decisions and Solving Problems","Spreadsheet software, Microsoft Excel, Electronic mail software, Microsoft Outlook, Facilities management software, Maintenance record software, Office suite software, Microsoft Office software, Operating system software, Microsoft Windows","Operate one or several types of power construction equipment, such as motor graders, bulldozers, scrapers, compressors, pumps, derricks, shovels, tractors, or front-end loaders to excavate, move, and grade earth, erect structures, or pour concrete or other hard surface pavement. May repair and maintain equipment in addition to other duties. Key tasks: Learn and follow safety regulations.. Take actions to avoid potential hazards or obstructions, such as utility lines, other equipment, other workers, or falling objects.. Start engines, move throttles, switches, or levers, or depress pedals to operate machines, such as bulldozers, trench excavators, road graders, or backhoes.. Coordinate machine actions with other activities, positioning or moving loads in response to hand or audio signals from crew members.. Align machines, cutterheads, or depth gauge makers with reference stakes and guidelines or ground or position equipment, following hand signals of other workers. Work activities: Controlling Machines and Processes, Monitoring Processes, Materials, or Surroundings, Operating Vehicles, Mechanized Devices, or Equipment, Getting Information, Making Decisions and Solving Problems Technology: Spreadsheet software, Microsoft Excel, Electronic mail software, Microsoft Outlook, Facilities management software, Maintenance record software, Office suite software, Microsoft Office software, Operating system software, Microsoft Windows"
47-2081.00,Drywall and Ceiling Tile Installers,"Apply plasterboard or other wallboard to ceilings or interior walls of buildings. Apply or mount acoustical tiles or blocks, strips, or sheets of shock-absorbing materials to ceilings and walls of buildings to reduce or reflect sound. Materials may be of decorative quality. Includes lathers who fasten wooden, metal, or rockboard lath to walls, ceilings, or partitions of buildings to provide support base for plaster, fireproofing, or acoustical material.","Read blueprints or other specifications to determine methods of installation, work procedures, or material or tool requirements.; Measure and mark surfaces to lay out work, according to blueprints or drawings, using tape measures, straightedges or squares, and marking devices.; Fit and fasten wallboard or drywall into position on wood or metal frameworks, using glue, nails, or screws.; Measure and cut openings in panels or tiles for electrical outlets, windows, vents, plumbing, or other fixtures, using keyhole saws or other cutting tools.; Assemble or install metal framing or decorative trim for windows, doorways, or vents.","Handling and Moving Objects, Getting Information, Performing General Physical Activities, Inspecting Equipment, Structures, or Materials, Communicating with Supervisors, Peers, or Subordinates","Word processing software, Microsoft Word, Wilhelm Publishing Threshold, Project management software, Construction Software Center EasyEst, DevWave Estimate Works, On Center Quick Bid, Turtle Creek Software Goldenseal, Accounting software, Job costing software, Optical character reader OCR or scanning software, Logic Group Scanner Digitizing Software, Office suite software, Microsoft Office software","Apply plasterboard or other wallboard to ceilings or interior walls of buildings. Apply or mount acoustical tiles or blocks, strips, or sheets of shock-absorbing materials to ceilings and walls of buildings to reduce or reflect sound. Materials may be of decorative quality. Includes lathers who fasten wooden, metal, or rockboard lath to walls, ceilings, or partitions of buildings to provide support base for plaster, fireproofing, or acoustical material. Key tasks: Read blueprints or other specifications to determine methods of installation, work procedures, or material or tool requirements.. Measure and mark surfaces to lay out work, according to blueprints or drawings, using tape measures, straightedges or squares, and marking devices.. Fit and fasten wallboard or drywall into position on wood or metal frameworks, using glue, nails, or screws.. Measure and cut openings in panels or tiles for electrical outlets, windows, vents, plumbing, or other fixtures, using keyhole saws or other cutting tools.. Assemble or install metal framing or decorative trim for windows, doorways, or vents. Work activities: Handling and Moving Objects, Getting Information, Performing General Physical Activities, Inspecting Equipment, Structures, or Materials, Communicating with Supervisors, Peers, or Subordinates Technology: Word processing software, Microsoft Word, Wilhelm Publishing Threshold, Project management software, Construction Software Center EasyEst, DevWave Estimate Works, On Center Quick Bid, Turtle Creek Software Goldenseal, Accounting software, Job costing software, Optical character reader OCR or scanning software, Logic Group Scanner Digitizing Software, Office suite software, Microsoft Office software"
47-2111.00,Electricians,"Install, maintain, and repair electrical wiring, equipment, and fixtures. Ensure that work is in accordance with relevant codes. May install or service street lights, intercom systems, or electrical control systems.","Prepare sketches or follow blueprints to determine the location of wiring or equipment and to ensure conformance to building and safety codes.; Place conduit, pipes, or tubing, inside designated partitions, walls, or other concealed areas, and pull insulated wires or cables through the conduit to complete circuits between boxes.; Work from ladders, scaffolds, or roofs to install, maintain, or repair electrical wiring, equipment, or fixtures.; Use a variety of tools or equipment, such as power construction equipment, measuring devices, power tools, and testing equipment, such as oscilloscopes, ammeters, or test lamps.; Assemble, install, test, or maintain electrical or electronic wiring, equipment, appliances, apparatus, or fixtures, using hand tools or power tools.","Performing General Physical Activities, Communicating with Supervisors, Peers, or Subordinates, Organizing, Planning, and Prioritizing Work, Getting Information, Monitoring Processes, Materials, or Surroundings","Word processing software, Microsoft Word, Socrates Contractor's Library, Analytical or scientific software, Construction Master Pro, Electrosoft FlashWorks, Elite Software Inpoint, SoftEmpire Electrical Calculations, Data base user interface and query software, Database software, Resolve Systems Service Management, Sage 300 Construction and Real Estate, Shafer Service Systems, Industrial control software, AVEVA InTouch HMI, Programmable logic controller PLC software, Supervisory control and data acquisition SCADA software, Computer aided design CAD software, Autodesk AutoCAD, One Mile Up Panel Planner","Install, maintain, and repair electrical wiring, equipment, and fixtures. Ensure that work is in accordance with relevant codes. May install or service street lights, intercom systems, or electrical control systems. Key tasks: Prepare sketches or follow blueprints to determine the location of wiring or equipment and to ensure conformance to building and safety codes.. Place conduit, pipes, or tubing, inside designated partitions, walls, or other concealed areas, and pull insulated wires or cables through the conduit to complete circuits between boxes.. Work from ladders, scaffolds, or roofs to install, maintain, or repair electrical wiring, equipment, or fixtures.. Use a variety of tools or equipment, such as power construction equipment, measuring devices, power tools, and testing equipment, such as oscilloscopes, ammeters, or test lamps.. Assemble, install, test, or maintain electrical or electronic wiring, equipment, appliances, apparatus, or fixtures, using hand tools or power tools. Work activities: Performing General Physical Activities, Communicating with Supervisors, Peers, or Subordinates, Organizing, Planning, and Prioritizing Work, Getting Information, Monitoring Processes, Materials, or Surroundings Technology: Word processing software, Microsoft Word, Socrates Contractor's Library, Analytical or scientific software, Construction Master Pro, Electrosoft FlashWorks, Elite Software Inpoint, SoftEmpire Electrical Calculations, Data base user interface and query software, Database software, Resolve Systems Service Management, Sage 300 Construction and Real Estate, Shafer Service Systems, Industrial control software, AVEVA InTouch HMI, Programmable logic controller PLC software, Supervisory control and data acquisition SCADA software, Computer aided design CAD software, Autodesk AutoCAD, One Mile Up Panel Planner"
47-2132.00,"Insulation Workers, Mechanical","Apply insulating materials to pipes or ductwork, or other mechanical systems in order to help control and maintain temperature.","Measure and cut insulation for covering surfaces, using tape measures, handsaws, knives, and scissors.; Apply, remove, and repair insulation on industrial equipment, pipes, ductwork, or other mechanical systems such as heat exchangers, tanks, and vessels, to help control noise and maintain temperatures.; Select appropriate insulation, such as fiberglass, Styrofoam, or cork, based on the heat retaining or excluding characteristics of the material.; Fit insulation around obstructions, and shape insulating materials and protective coverings as required.; Determine the amounts and types of insulation needed, and methods of installation, based on factors such as location, surface shape, and equipment use.","Handling and Moving Objects, Performing General Physical Activities, Communicating with Supervisors, Peers, or Subordinates, Monitoring Processes, Materials, or Surroundings, Making Decisions and Solving Problems","Data base user interface and query software, CMSN FieldPAK, Comput-Ability Mechanical Insulation Key Estimator, Enterprise resource planning ERP software, IBM Maximo Asset Management, Analytical or scientific software, North American Insulation Manufacturers Association NAIMA 3E Plus, Project management software, Turtle Creek Software Goldenseal","Apply insulating materials to pipes or ductwork, or other mechanical systems in order to help control and maintain temperature. Key tasks: Measure and cut insulation for covering surfaces, using tape measures, handsaws, knives, and scissors.. Apply, remove, and repair insulation on industrial equipment, pipes, ductwork, or other mechanical systems such as heat exchangers, tanks, and vessels, to help control noise and maintain temperatures.. Select appropriate insulation, such as fiberglass, Styrofoam, or cork, based on the heat retaining or excluding characteristics of the material.. Fit insulation around obstructions, and shape insulating materials and protective coverings as required.. Determine the amounts and types of insulation needed, and methods of installation, based on factors such as location, surface shape, and equipment use. Work activities: Handling and Moving Objects, Performing General Physical Activities, Communicating with Supervisors, Peers, or Subordinates, Monitoring Processes, Materials, or Surroundings, Making Decisions and Solving Problems Technology: Data base user interface and query software, CMSN FieldPAK, Comput-Ability Mechanical Insulation Key Estimator, Enterprise resource planning ERP software, IBM Maximo Asset Management, Analytical or scientific software, North American Insulation Manufacturers Association NAIMA 3E Plus, Project management software, Turtle Creek Software Goldenseal"
47-2151.00,Pipelayers,"Lay pipe for storm or sanitation sewers, drains, and water mains. Perform any combination of the following tasks: grade trenches or culverts, position pipe, or seal joints.","Grade or level trench bases, using tamping machines or hand tools.; Dig trenches to desired or required depths, by hand or using trenching tools.; Cut pipes to required lengths.; Install or use instruments such as lasers, grade rods, or transit levels.; Cover pipes with earth or other materials.","Getting Information, Handling and Moving Objects, Communicating with Supervisors, Peers, or Subordinates, Controlling Machines and Processes, Operating Vehicles, Mechanized Devices, or Equipment","Spreadsheet software, Microsoft Excel, Office suite software, Microsoft Office software, Word processing software","Lay pipe for storm or sanitation sewers, drains, and water mains. Perform any combination of the following tasks: grade trenches or culverts, position pipe, or seal joints. Key tasks: Grade or level trench bases, using tamping machines or hand tools.. Dig trenches to desired or required depths, by hand or using trenching tools.. Cut pipes to required lengths.. Install or use instruments such as lasers, grade rods, or transit levels.. Cover pipes with earth or other materials. Work activities: Getting Information, Handling and Moving Objects, Communicating with Supervisors, Peers, or Subordinates, Controlling Machines and Processes, Operating Vehicles, Mechanized Devices, or Equipment Technology: Spreadsheet software, Microsoft Excel, Office suite software, Microsoft Office software, Word processing software"
47-2152.00,"Plumbers, Pipefitters, and Steamfitters","Assemble, install, alter, and repair pipelines or pipe systems that carry water, steam, air, or other liquids or gases. May install heating and cooling equipment and mechanical control systems. Includes sprinkler fitters.","Shut off steam, water, or other gases or liquids from pipe sections, using valve keys or wrenches.; Install underground storm, sanitary, or water piping systems, extending piping as needed to connect fixtures and plumbing.; Assemble pipe sections, tubing, or fittings, using couplings, clamps, screws, bolts, cement, plastic solvent, caulking, or soldering, brazing, or welding equipment.; Locate and mark the position of pipe installations, connections, passage holes, or fixtures in structures, using measuring instruments such as rulers or levels.; Cut, thread, or hammer pipes to specifications, using tools such as saws, cutting torches, pipe threaders, or pipe benders.","Getting Information, Identifying Objects, Actions, and Events, Making Decisions and Solving Problems, Inspecting Equipment, Structures, or Materials, Performing General Physical Activities","Accounting software, Bookkeeping software, Intuit QuickBooks, KRS Enterprises Service First!, Quicken, Analytical or scientific software, Bentley Systems AutoPIPE, COADE CAESAR II, Quote Software QuoteExpress, Watter Hammer Software Hytran, Computer aided design CAD software, AEC Design Group CADPIPE, Drawing and drafting software, Horizon Engineering Sigma Plumbing Calculator, ViziFlow, Project management software, Estimating software, FastEST FastPipe, Piping construction costs estimation software, Vision InfoSoft Plumbing Bid Manager, Data base user interface and query software, Database software, Insight Direct ServiceCEO, PricePoint, Wintac Pro","Assemble, install, alter, and repair pipelines or pipe systems that carry water, steam, air, or other liquids or gases. May install heating and cooling equipment and mechanical control systems. Includes sprinkler fitters. Key tasks: Shut off steam, water, or other gases or liquids from pipe sections, using valve keys or wrenches.. Install underground storm, sanitary, or water piping systems, extending piping as needed to connect fixtures and plumbing.. Assemble pipe sections, tubing, or fittings, using couplings, clamps, screws, bolts, cement, plastic solvent, caulking, or soldering, brazing, or welding equipment.. Locate and mark the position of pipe installations, connections, passage holes, or fixtures in structures, using measuring instruments such as rulers or levels.. Cut, thread, or hammer pipes to specifications, using tools such as saws, cutting torches, pipe threaders, or pipe benders. Work activities: Getting Information, Identifying Objects, Actions, and Events, Making Decisions and Solving Problems, Inspecting Equipment, Structures, or Materials, Performing General Physical Activities Technology: Accounting software, Bookkeeping software, Intuit QuickBooks, KRS Enterprises Service First!, Quicken, Analytical or scientific software, Bentley Systems AutoPIPE, COADE CAESAR II, Quote Software QuoteExpress, Watter Hammer Software Hytran, Computer aided design CAD software, AEC Design Group CADPIPE, Drawing and drafting software, Horizon Engineering Sigma Plumbing Calculator, ViziFlow, Project management software, Estimating software, FastEST FastPipe, Piping construction costs estimation software, Vision InfoSoft Plumbing Bid Manager, Data base user interface and query software, Database software, Insight Direct ServiceCEO, PricePoint, Wintac Pro"
47-2171.00,Reinforcing Iron and Rebar Workers,"Position and secure steel bars or mesh in concrete forms in order to reinforce concrete. Use a variety of fasteners, rod-bending machines, blowtorches, and hand tools. Includes rod busters.","Determine quantities, sizes, shapes, and locations of reinforcing rods from blueprints, sketches, or oral instructions.; Space and fasten together rods in forms according to blueprints, using wire and pliers.; Position and secure steel bars, rods, cables, or mesh in concrete forms, using fasteners, rod-bending machines, blowtorches, or hand tools.; Cut rods to required lengths, using metal shears, hacksaws, bar cutters, or acetylene torches.; Place blocks under rebar to hold the bars off the deck when reinforcing floors.","Handling and Moving Objects, Getting Information, Performing General Physical Activities, Identifying Objects, Actions, and Events, Inspecting Equipment, Structures, or Materials","Project management software, Application Software SHEAR, Applied Systems Associates aSa Rebar, Computer aided design CAD software, OTP ArmaCAD, Data base user interface and query software, RebarWin, Spreadsheet software, Word processing software","Position and secure steel bars or mesh in concrete forms in order to reinforce concrete. Use a variety of fasteners, rod-bending machines, blowtorches, and hand tools. Includes rod busters. Key tasks: Determine quantities, sizes, shapes, and locations of reinforcing rods from blueprints, sketches, or oral instructions.. Space and fasten together rods in forms according to blueprints, using wire and pliers.. Position and secure steel bars, rods, cables, or mesh in concrete forms, using fasteners, rod-bending machines, blowtorches, or hand tools.. Cut rods to required lengths, using metal shears, hacksaws, bar cutters, or acetylene torches.. Place blocks under rebar to hold the bars off the deck when reinforcing floors. Work activities: Handling and Moving Objects, Getting Information, Performing General Physical Activities, Identifying Objects, Actions, and Events, Inspecting Equipment, Structures, or Materials Technology: Project management software, Application Software SHEAR, Applied Systems Associates aSa Rebar, Computer aided design CAD software, OTP ArmaCAD, Data base user interface and query software, RebarWin, Spreadsheet software, Word processing software"
47-2221.00,Structural Iron and Steel Workers,"Raise, place, and unite iron or steel girders, columns, and other structural members to form completed structures or structural frameworks. May erect metal storage tanks and assemble prefabricated metal buildings.","Read specifications or blueprints to determine the locations, quantities, or sizes of materials required.; Connect columns, beams, and girders with bolts, following blueprints and instructions from supervisors.; Bolt aligned structural steel members in position for permanent riveting, bolting, or welding into place.; Fasten structural steel members to hoist cables, using chains, cables, or rope.; Hoist steel beams, girders, or columns into place, using cranes or signaling hoisting equipment operators to lift and position structural steel members.","Handling and Moving Objects, Inspecting Equipment, Structures, or Materials, Performing General Physical Activities, Getting Information, Communicating with Supervisors, Peers, or Subordinates","Electronic mail software, Microsoft Outlook, Project management software, Cost estimating software, Project scheduling software, Accounting software, Turtle Creek Software Goldenseal, Inventory management software, Inventory tracking software, Computer aided design CAD software","Raise, place, and unite iron or steel girders, columns, and other structural members to form completed structures or structural frameworks. May erect metal storage tanks and assemble prefabricated metal buildings. Key tasks: Read specifications or blueprints to determine the locations, quantities, or sizes of materials required.. Connect columns, beams, and girders with bolts, following blueprints and instructions from supervisors.. Bolt aligned structural steel members in position for permanent riveting, bolting, or welding into place.. Fasten structural steel members to hoist cables, using chains, cables, or rope.. Hoist steel beams, girders, or columns into place, using cranes or signaling hoisting equipment operators to lift and position structural steel members. Work activities: Handling and Moving Objects, Inspecting Equipment, Structures, or Materials, Performing General Physical Activities, Getting Information, Communicating with Supervisors, Peers, or Subordinates Technology: Electronic mail software, Microsoft Outlook, Project management software, Cost estimating software, Project scheduling software, Accounting software, Turtle Creek Software Goldenseal, Inventory management software, Inventory tracking software, Computer aided design CAD software"
47-4021.00,Elevator and Escalator Installers and Repairers,"Assemble, install, repair, or maintain electric or hydraulic freight or passenger elevators, escalators, or dumbwaiters.","Inspect wiring connections, control panel hookups, door installations, and alignments and clearances of cars and hoistways to ensure that equipment will operate properly.; Assemble, install, repair, and maintain elevators, escalators, moving sidewalks, and dumbwaiters, using hand and power tools, and testing devices such as test lamps, ammeters, and voltmeters.; Disassemble defective units, and repair or replace parts such as locks, gears, cables, and electric wiring.; Check that safety regulations and building codes are met, and complete service reports verifying conformance to standards.; Locate malfunctions in brakes, motors, switches, and signal and control systems, using test equipment.","Repairing and Maintaining Mechanical Equipment, Controlling Machines and Processes, Getting Information, Inspecting Equipment, Structures, or Materials, Evaluating Information to Determine Compliance with Standards","Spreadsheet software, Microsoft Excel, Analytical or scientific software, Elevator Controls INTERACT, Troubleshooting software, WORLD Electronics Freedomware, Electronic mail software, Microsoft Outlook, Facilities management software, Computerized maintenance management system CMMS, Word processing software, Microsoft Word","Assemble, install, repair, or maintain electric or hydraulic freight or passenger elevators, escalators, or dumbwaiters. Key tasks: Inspect wiring connections, control panel hookups, door installations, and alignments and clearances of cars and hoistways to ensure that equipment will operate properly.. Assemble, install, repair, and maintain elevators, escalators, moving sidewalks, and dumbwaiters, using hand and power tools, and testing devices such as test lamps, ammeters, and voltmeters.. Disassemble defective units, and repair or replace parts such as locks, gears, cables, and electric wiring.. Check that safety regulations and building codes are met, and complete service reports verifying conformance to standards.. Locate malfunctions in brakes, motors, switches, and signal and control systems, using test equipment. Work activities: Repairing and Maintaining Mechanical Equipment, Controlling Machines and Processes, Getting Information, Inspecting Equipment, Structures, or Materials, Evaluating Information to Determine Compliance with Standards Technology: Spreadsheet software, Microsoft Excel, Analytical or scientific software, Elevator Controls INTERACT, Troubleshooting software, WORLD Electronics Freedomware, Electronic mail software, Microsoft Outlook, Facilities management software, Computerized maintenance management system CMMS, Word processing software, Microsoft Word"
47-4051.00,Highway Maintenance Workers,"Maintain highways, municipal and rural roads, airport runways, and rights-of-way. Duties include patching broken or eroded pavement and repairing guard rails, highway markers, and snow fences. May also mow or clear brush from along road, or plow snow from roadway.","Set out signs and cones around work areas to divert traffic.; Flag motorists to warn them of obstacles or repair work ahead.; Perform preventative maintenance on vehicles and heavy equipment.; Drive trucks to transport crews and equipment to work sites.; Erect, install, or repair guardrails, road shoulders, berms, highway markers, warning signals, and highway lighting, using hand tools and power tools.","Communicating with Supervisors, Peers, or Subordinates, Establishing and Maintaining Interpersonal Relationships, Organizing, Planning, and Prioritizing Work, Inspecting Equipment, Structures, or Materials, Getting Information","Spreadsheet software, Microsoft Excel, Presentation software, Microsoft PowerPoint, Word processing software, Microsoft Word, Electronic mail software, Microsoft Outlook, Office suite software, Microsoft Office software","Maintain highways, municipal and rural roads, airport runways, and rights-of-way. Duties include patching broken or eroded pavement and repairing guard rails, highway markers, and snow fences. May also mow or clear brush from along road, or plow snow from roadway. Key tasks: Set out signs and cones around work areas to divert traffic.. Flag motorists to warn them of obstacles or repair work ahead.. Perform preventative maintenance on vehicles and heavy equipment.. Drive trucks to transport crews and equipment to work sites.. Erect, install, or repair guardrails, road shoulders, berms, highway markers, warning signals, and highway lighting, using hand tools and power tools. Work activities: Communicating with Supervisors, Peers, or Subordinates, Establishing and Maintaining Interpersonal Relationships, Organizing, Planning, and Prioritizing Work, Inspecting Equipment, Structures, or Materials, Getting Information Technology: Spreadsheet software, Microsoft Excel, Presentation software, Microsoft PowerPoint, Word processing software, Microsoft Word, Electronic mail software, Microsoft Outlook, Office suite software, Microsoft Office software"
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,"Lay, repair, and maintain track for standard or narrow-gauge railroad equipment used in regular railroad service or in plant yards, quarries, sand and gravel pits, and mines. Includes ballast cleaning machine operators and railroad bed tamping machine operators.","Patrol assigned track sections so that damaged or broken track can be located and reported.; Repair or adjust track switches, using wrenches and replacement parts.; Weld sections of track together, such as switch points and frogs.; Observe leveling indicator arms to verify levelness and alignment of tracks.; Operate single- or multiple-head spike driving machines to drive spikes into ties and secure rails.","Getting Information, Making Decisions and Solving Problems, Operating Vehicles, Mechanized Devices, or Equipment, Handling and Moving Objects, Inspecting Equipment, Structures, or Materials","Spreadsheet software, Microsoft Excel, Office suite software, Microsoft Office software, Time accounting software, Timekeeping software, Enterprise resource planning ERP software","Lay, repair, and maintain track for standard or narrow-gauge railroad equipment used in regular railroad service or in plant yards, quarries, sand and gravel pits, and mines. Includes ballast cleaning machine operators and railroad bed tamping machine operators. Key tasks: Patrol assigned track sections so that damaged or broken track can be located and reported.. Repair or adjust track switches, using wrenches and replacement parts.. Weld sections of track together, such as switch points and frogs.. Observe leveling indicator arms to verify levelness and alignment of tracks.. Operate single- or multiple-head spike driving machines to drive spikes into ties and secure rails. Work activities: Getting Information, Making Decisions and Solving Problems, Operating Vehicles, Mechanized Devices, or Equipment, Handling and Moving Objects, Inspecting Equipment, Structures, or Materials Technology: Spreadsheet software, Microsoft Excel, Office suite software, Microsoft Office software, Time accounting software, Timekeeping software, Enterprise resource planning ERP software"
